,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,COMPSYS_1,COMPSYS_2,COMPSYS_3,COMPSYS_4,COMPSYS_5,LDATE_month
1797088,11453741,hyundai motor america,hyundai,tucson,2019-01-01,n,,n,0,0,engine,east falmouth,ma,km8j2ca43ku,2022-02-24,2022-02-24,,,on 2-23-2022  i was driving approximately 30 mph when all of a sudden there was a noise that kept getting louder which sounded like a knocking or broken fan the vehicle rpm increased the vehicle hesitated did not accelerate stalled the check oil and engine light came on i coasted into parking lot when i opened the hood there was no signs of smoke oil leak or smells however when i went to check the oil smoke came out of where the oil dip stick goes i attempted to have the vehicle jump started with no luck just a clicking sound i had the vehicle towed to be serviced ,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797109,11453757,hyundai motor america,hyundai,sonata,2014-01-01,n,,n,0,0,service brakes,terrytown,la,5npeb4ac2eh,2022-02-24,2022-02-24,,,brake light illuminated  brake pedal travelled farther down affecting stopping of vehicle abs hydraulic control unit is leaking brake fluid repair shop confirmed leak,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,service brakes,,,,,2022-02
1797180,11453801,hyundai motor america,hyundai,sonata,2011-01-01,n,,n,0,0,engine,ashland city,tn,5npec4acxbh,2022-02-24,2022-02-24,,,the shifter is not being recognized in park by the motor therefore it is not wanting to start once i do get it started then i can not shift out of park i have to stick the key down in the shift unlock position to get it to move out of park ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797223,11453828,hyundai motor america,hyundai,tucson,2018-01-01,n,,y,0,0,engine,waynesville,nc,km8j3ca49ju,2022-02-24,2022-02-24,,,the contact owned a 2018 hyundai tucson the contact stated that while driving up a hill at 30 mph she heard an abnormal popping noise emitting from underneath the vehicle without warning upon inspection of the vehicle the contact saw that a fire had started from underneath the front passenger side of the vehicle the vehicle in front of hers witnessed the fire and assisted with calling the authorities to the scene both the fire and the police department arrived as the fire department extinguished the fire both a police and fire report were filed no injuries were reported the contact had the vehicle towed to an independent tow yard where it was deemed a total loss upon investigation the contact linked her failure to nhtsa campaign number 20v543000service brakes hydraulic however the cause of the fire had yet to be determined both the dealer and the manufacturer were notified of the failure the vehicle had been destroyed the failure mileage was unknown,evoq,y,,n,n,n,,,,,,30.0,,,,,,,,,v,,n,y,engine,,,,,2022-02
1797246,11453843,hyundai motor america,hyundai,sonata,2011-01-01,n,,n,0,0,engine,evansville,in,5npec4ac4bh,2022-02-24,2022-02-24,234875.0,,the contact owns a 2011 hyundai sonata the contact stated that while driving at an undisclosed speed several unknown warning lights illuminated and the vehicle stalled the contact was able to restart the vehicle the vehicle was taken to the dealer and diagnosed with engine failure the contact was informed that the engine needed to be replaced the vehicle was not repaired the manufacturer was made aware of the failure but declined the engine replacement since the mileage did not match the title mileage the manufacturer informed the contact to park the vehicle as it was not safe to drive the failure mileage was 234875,evoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797313,11453886,hyundai motor america,hyundai,sonata,2016-01-01,n,,n,0,0,engine,jacksonville,fl,5npe24af0gh,2022-02-24,2022-02-24,,,engine is buring oil i drove about 1400 miles since last oil change and my engine had almost no oil there are no leaks my driveway is clean my mechanic says engine is burning oil inside and he put crazy amount of oil to top it off today he told me to change my oil every 3000 miles instead of 5000 he has been saying there is an issue with engine buring oil for some time and recommended contacting this agency and dealer,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797399,11453941,hyundai motor america,hyundai,accent,2016-01-01,n,,n,0,0,engine,roxboro,nc,kmhct5ae1gu,2022-02-24,2022-02-24,,,2016 hyundai accent only has approximately 132000 miles and needs a new engine  three different mechanic shops one being a hyundai dealership looked at the vehicle and determined that it needed a new engine due to engine knock in lower end of engine  car was well maintained and serviced regularly  engine light came on intermittently but never stayed on to get a code  in early january 2022 engine started to have a loud knock and then codes were p0011 p0014 and p0420  bank 1 problem bank 2 problem and possible exhaust leak  decided to change vvt or oil control valve and the old one had silver shavings on it probably aluminum  shavings possibly from piston slapping and causing wear or camshaft bearing wearing  after reading online i have seen that this has been a common problem with the hyundai vehicles between years 2015-2017 but the accent is not on the recall list yet  ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797429,11453959,hyundai motor america,hyundai,santa fe,2016-01-01,n,,n,0,0,engine,monroe,nc,km8sm4hf5gu,2022-02-24,2022-02-24,,,while driving car would slow speed unexpectedly in addition to this issue the heat in the car stopped working after having several system flushes and parts replaced by our mechanic we took it to the dealership for evaluation and was advised the car has complete engine failure no check engine light ever came on was advised by dealership that several complaints have been made about this particular engine but no recalls have been made the transmission for this car was already replaced less than a month after purchasing at 66000 miles due to a defect and it has been continuous issues since then car has been regularly maintained and despite these preventative maintenance steps the engine still failed hyundai i am sure is aware of these engine issues and should address them immediately consumer would like to add that after speaking with the salvage yard about a replacement engine the gentleman advised that he received 1000 inquires for a engine for this make and model year,ivoq,n,,n,n,n,6.0,fwd,,gs,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797442,11453967,hyundai motor america,hyundai,tucson,2022-01-01,n,,n,0,0,engine,sunnyvale,ca,5nmjb3ae8nh,2022-02-25,2022-02-25,,,the car will accelerate but not beyond a speed of 20 - 30 mph the issue is intermittent one happens in january 2022 and another one happens in feb 2022 the issue happens after parking overnight and the issue will go away after restarting the car no-fault light shows up the problem has not been reproduced by a dealer since it is intermittent the issue is reported to the manufacturer but no actions from the manufacturer have been taken the issue does pose a safety risk to me and other road traffics since the problem may happen anytime on driving,ivoq,n,,n,n,n,,,,,,20.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797443,11453967,hyundai motor america,hyundai,tucson,2022-01-01,n,,n,0,0,power train,sunnyvale,ca,5nmjb3ae8nh,2022-02-25,2022-02-25,,,the car will accelerate but not beyond a speed of 20 - 30 mph the issue is intermittent one happens in january 2022 and another one happens in feb 2022 the issue happens after parking overnight and the issue will go away after restarting the car no-fault light shows up the problem has not been reproduced by a dealer since it is intermittent the issue is reported to the manufacturer but no actions from the manufacturer have been taken the issue does pose a safety risk to me and other road traffics since the problem may happen anytime on driving,ivoq,n,,n,n,n,,,,,,20.0,,,,,,,,,v,,n,n,power train,,,,,2022-02
1797445,11453968,hyundai motor america,hyundai,sonata,2017-01-01,n,,n,0,0,engine,lithonia ,ga,5npe34af2hh,2022-02-25,2022-02-25,,, my car was driving just fine then it wasnt accelerating right and it went into limp mode i was about 12 miles from home i made it but the next day on the way to the dealership the engine just died about a mile from my house engine light came on i always get my oil changes on time dealership says engine oil is sludged due to negligence no negligence i believe faulty engine caused containments  and have very bad oil consumption my theta engine was left out of the campaign and my warranty was denied ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797512,11454005,hyundai motor america,hyundai,sonata,2014-01-01,n,,n,0,0,engine,aldie,ma,5npeb4ac6eh,2022-02-25,2022-02-25,,,while driving home going about 40-45 mph my dashboard lit up with a check engine battery steering and oil lights  within a couple miles 2 maybe 3 i lost all power  all this happened within minutes  i tried to restart after sitting for 10 minutes and the engine would not even try to turn over  ended up using jumper cables to start get car started when the engine started knocking--horribly  likely not available for inspection unless said inspection happens soon  my safety was extremely compromised as it all happened within minutes of any dashboard indicators that there was a concern at 6pm  i was in the midst of driving on a semi-busy road during rush hour  i barely made it up the hill where i had just enough room to pull off into a slightly wider area of the road--this road had no gutterspull-offs  the car has not been inspected as of yet  it will be going to the dealer by cob today 22522  i was informed it would take at least a few days for them to go over the car  it has not been inspected by any police or insurance representatives as of this time ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797524,11454016,hyundai motor america,hyundai,sonata,2013-01-01,n,,n,0,0,electrical system,mount airy,md,5npeb4ac4dh,2022-02-25,2022-02-25,,,ignition key does not always release when turning engine off the key stays locked in the accessory position which causes a drain on the battery the key will not come out,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-02
1797585,11454055,hyundai motor america,hyundai,ioniq,2020-01-01,n,,n,0,0,electrical system,valparaiso,in,kmhc05lc9lu,2022-02-25,2022-02-25,,,my horn failed and was replaced in march of 2021  it stopped working again in january of 2022  the dealer replaced the horn the first time and another horn is on order with an unknown date of when the part will be available  this is a safety concern for me  i drive in the country and many deer run in the road  there has also been an incident where a child ran infront of my car while in my home city  not having a horn poses a risk to me and others  i would not expect a car that is less than 2 years old to have a horn go out twice  i have driven 50 years and have never had a horn break  there was no warning prior to horn failure nor do i know how long the horn was broke,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-02
1797653,11454094,hyundai motor america,hyundai,santa fe,2012-01-01,n,,n,0,0,engine,altoona,pa,5xyzkdag0cg,2022-02-25,2022-02-25,120000.0,,the contact owns a 2012 hyundai santa fe the contact stated that while driving approximately 35 mph the oil sensor flashed on the instrument panel the vehicle was taken to the local dealer where it was diagnosed that the oil sensor was leaking oil onto the engine and exhaust the vehicle was towed to a dealer where it was diagnosed and the contact was informed that the starter needed to be replaced the contact stated that the engine seized during the repair the manufacturer was notified of the failure but no further assistance was provided the approximate failure mileage was 120000,evoq,n,,n,n,n,6.0,awd,,gs,,35.0,,,,,,,,,v,,n,y,engine,,,,,2022-02
1797725,11454152,hyundai motor america,hyundai,veracruz,2010-01-01,n,,y,0,0,engine,auburn,al,km8nu4cc2au,2022-02-25,2022-02-25,148000.0,, the contact owns a 2010  hyundai veracruz the contact received nhtsa campaign number  20v705000 engine and engine coolingthe contact stated that while driving the battery warning light was illuminated there was an abnormal smoke odor and also a burning rubber odor the vehicle was taken to an independent mechanic who informed him that oil was leaking into the engine and onto the alternator the contact called the local dealer and was informed that the mechanic was unable to repair the vehicle until may 2022 the manufacturer was not contacted and informed of the failure the approximate failure mileage was 148000 ,evoq,n,,n,n,n,,,,,,0.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797786,11454191,hyundai motor america,hyundai,tucson,2014-01-01,n,,n,0,0,engine,towson,md,km8jtcaf2eu,2022-02-25,2022-02-25,,,56k ish miles on my car 2nd owner oil pressure light flickered on and off about 5 miles from home after 20 mile highway drive steady on when pulled into driveway turned off car immediately have noticed excessive oil consumption but check and  top off frequently topped off less than 200 miles prior about halfway or less since last oil change mileage wise from what i recall checked oil and about halfway between bottom and top markers on dipstick took to dealer monday 8 miles from home oil light did not come back on dropped off dealer said light came on shortly after driving said problem could be caused by aftermarket oil filter aka not a oem filter said would do oil  filter change to see if resolved yesterday thursday said oil  filter change complete  oil light not on reiterated previously mentioned concern of engine failure and potential accident service advisor said hyundai will not entertain engine replacement unless oil consumption gets documented oil consumption test to be completed after 1000 miles or until low oil levels noticedoil pressure light illuminates will pick up tomorrow to see what happens engine is covered under newly extended warranty if failure occurs  service advisor says nothing else was checked internally spark plugs etc as this would incur engine being taken apart and extra charges prior to hyundai entertains covering engine replacement etc   although no failure has occurred yet im worried something will and it will result in something potentially catastrophic for not only the enginecar but myself   ,ivoq,n,,n,n,n,,,,,,25.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797792,11454194,hyundai motor america,hyundai,sonata,2016-01-01,n,,n,0,0,engine,brightwood,va,5npe34af4gh,2022-02-25,2022-02-25,,,car began to knock and lacked acceleration  i took it to a dealer and spent 300 on replacement of plugs and it seemed to be working fine one month later on the highway the car completely lost power and would no longer accelerate i found online that the engine had been recalled and the warranty extended to 120k miles  hyundai paid for a tow to the dealership  the dealership determined that the engine needed to be replaced and thought hyundai would replace the engine due to the recall but the replacement was denied by hyundai  i do not not know at this point on what grounds but the car has 117000 miles on it and should be within the extended warranty period because of the recall  the estimate for replacement of the engine is 8000  ive only had the car a few months and expected to get at least a few years out of this vehicle,ivoq,n,,n,n,n,,,,,,60.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797802,11454202,hyundai motor america,hyundai,veloster,2013-01-01,n,,n,0,0,electrical system,layton,ut,kmhtc6ad6du,2022-02-26,2022-02-26,,,     i bought the 2013 base version veloster w 80000 miles on it back in 2021 beginning of january having no problems with the vehicle halfway through the month my veloster started having on and off transmission problems then at the end of the month not even a month into owning the vehicle   my car wont go into gear and my gear light is blinking on my dashboard i do my research and see alot of velosters have this problem but dont know the reason for it so i proceed to take it to a trusted mechanic that does a diagnoses and determines i need a new tmc module and also determined nothing else was wrong with the car i had to wait 8 months to get the part from the hyundai dealership and finally when they get it fixed they tell me to take it to the hyundai dealership to get it reprogram because the car was put into limp mode after the new module was put in after i picked up my vehicle i took it to the dealership i left them with all the information and insist that i only want to reprogram my tcm module they proceed to do a diagnosis on my car and call me the same day saying they have a recall on the rode bearings and also that i need a new transmission and will replace it for 7100 i was mortified the vehicle is only 80000 and i already have to replace the transmission after buying the vehicle i feel scammed if i see that thousands of people are having this same problem i believe it needs to be address ,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,v,,n,n,electrical system,,,,,2022-02
1797939,11454289,hyundai motor america,hyundai,sonata,2010-01-01,n,,n,0,0,power train,new rochelle,ny,5npet4ac0ah,2022-02-26,2022-02-26,,,rough jerking downshift transmission when stopping or slow down,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,v,,n,n,power train,,,,,2022-02
1797968,11454311,hyundai motor america,hyundai,sonata,2017-01-01,n,,n,0,0,engine,west covina,ca,kmhe54l27ha,2022-02-27,2022-02-27,,,the engine started knocking on the freeway and all the lights in the car went off the engine failed and i barely made it off the freeway i was almost hit by two cars trying to get to a safe place the engine has the same issue as the other morsels that have recalled the engine for the same rod failure issue but hyundai has not extended the recall to the plug in hybrid this model also bends to be recalled because it is a danger to all owners and other drivers hyundai declined to repair the defective engine ,ivoq,n,,n,n,n,,,,,,45.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797975,11454314,hyundai motor america,hyundai,sonata,2015-01-01,n,,y,0,0,engine,riverside,ca,5npe34af9fh,2022-02-27,2022-02-27,,,i was driving with my 2year old grandson and my car stalled my neighbors waving trying to alert me that my car was on fireby the time i realized that the smoke began to come in through the vents i had to use the key fobe to open the doors to hurry and remove my grandson from the car the doors wouldnt open by pulling the handles there were no warning lights or lamps messages or problems prior to the engine failure the safety of my grandsons and my life were put to risk because of me not getting any notifications about recalls and defects,ivoq,n,,n,n,n,,,,,,25.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1797985,11454321,hyundai motor america,hyundai,kona,2019-01-01,n,,n,0,0,engine,wheatfield ,in,km8k22aaxku,2022-02-27,2022-02-27,,,as the reported recall has described the engine in my 2019 kona failed on november 6th 2021  the dealership hyundai has not repaired my vehicle and has had my vehicle in their possession since that date  i was denied a loaner vehicle due to inavailability hyundai has made minimal progress on repair despite the federal recall  does the nhsta require hyundai to act within a certain time frame to have repairs effected once its been identified and the problem has occurred  can you help,ivoq,n,,n,n,n,,,,,,55.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798050,11454365,hyundai motor america,hyundai,sonata,2013-01-01,n,,n,0,0,engine,jacksonville,ar,5npeb4acxdh,2022-02-27,2022-02-27,,,started having engine failure a few months back with knocking and ticking noises loss of power while driving and upon trying to accelerate dealer said it was a bad transmission have had repairs done with the same problems and with oil leaking and burning badly so much as you can smell inside the vehicle while driving its a safety issue that could cause a fire,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798137,11454420,hyundai motor america,genesis,g70,2019-01-01,n,,n,0,0,power train,randolph,ma,kmtg34le9ku,2022-02-28,2022-02-28,15000.0,,the contact owns a 2019 genesis g70 the contact stated while the vehicle was stationary at the residence the contact stated that it was difficult to select gear the contact stated no warning light was illuminated the contact also stated while driving at 35 mph the vehicle stalled the contact stated no warning light was illuminated the contact was able was to restart the vehicle and drove to his destination additionally while driving 25 mph and depressing on the accelerator pedal the vehicle failed to respond with several unknown warning lights illuminated the contact stated that the vehicle seized and was not drivable the contact towed the vehicle to the local dealer however the mechanic was unable to diagnose the cause of the failure the vehicle was then towed to genesis of nashua 140 daniel webster hwy nashua nh 03060 866 436-9548 and was diagnosed with needing the transmission to be replaced the vehicle was currently being repaired the manufacturer had been informed of the failure the failure mileage was approximately 15000,evoq,n,,n,n,n,,,,,,35.0,,,,,,,,,v,,n,y,power train,,,,,2022-02
1798156,11454433,hyundai motor america,hyundai,kona,2019-01-01,n,,n,0,0,engine,milwaukee ,wi,km8k1caa7ku,2022-02-28,2022-02-28,,,when i purchased my hyundai kona i was over the moon excited it checked all or the boxes for me and my family now i live in fear every single day that the ongoing car theft in my area is going to flip my entire world upside emotionally and financially i want to know what hyundais solution is to support the families that put trust in them when purchasing a vehicle from them ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798183,11454457,hyundai motor america,hyundai,santa fe,2017-01-01,n,,n,0,0,engine,allison park,pa,5xyztdlb1hg,2022-02-28,2022-02-28,,,on 12922 i was driving on the parkway going 60 mph when my vehicle began to fail i could not accelerate and i had to put my car in neutral to get to the side of the busy parkway my vehicle turned off and would not turn back on my vehicle was towed to a hyundai dealership where ultimately i was told i needed a new engine for almost 6000 hyundai stated they wont pay for it due to a recall that was never taken care of in the beginning of 2019 i bought my vehicle in november 2019 from a chevrolet dealership where nothing about a recall was ever disclosed i cant seem to find anything about a 2019 recall but i do see there was on listed on 2222 im at loss for what to do i cant afford to pay for this and i still owe 13000 on it  the red battery signal lit up on the dashboard when the engine started to fail that was the only warning signal  yes available for inspection upon request ,ivoq,n,,n,n,n,,,,,,60.0,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798214,11454484,hyundai motor america,hyundai,sonata,2015-01-01,n,,n,0,0,suspension,apple valley,mn,kmhec4a41fa,2022-02-28,2022-02-28,,,vehicle started making a front end noise when turning or hitting a bump,ivoq,n,,n,n,n,,,,,,60.0,,,,,,,,,v,,n,n,suspension,,,,,2022-02
1798230,11454496,hyundai motor america,hyundai,elantra,2022-01-01,n,,n,0,0,wheels,auburn,mi,5nplp4ag1nh,2022-02-28,2022-02-28,,,hired a local tire shop to install winter tires on a second set of wheels with a second set of tpms sensors later i discovered the car was not picking up the sensors but it also failed to illuminate the tpms sensor alert when i took it back to the tire shop they checked the tpms with their own sensors and said they were working fine so they didnt know why the car didnt detect them  i called my hyundai dealer and they said that aftermarket tpms often dont work and i have to use hyundai-approved tpms   this is fine but the owners manual ought to say so i checked the owners manual and it doesnt say that only hyundai-approved tpms can be used  the dealer replied that hyundai doesnt like people installing aftermarket parts i replied that installing winter tires is not usually considered an aftermarket modification and a person shouldnt be inhibited from installing winter tires  so all i ask is that the owners manual should make this clear in the section on tpms it should say that only hyundai-approved tpms sensors should be used or else it should say that if the driver installs a second set of wheels with winter tires that this installation should be done by a hyundai dealer and not by another tire shop   of course the owner could install the winter tires on the factory wheels with the factory tpms but this would mean that every season the all-season and winter tires would be swapped and re-mounted and re-balanced which is unnecessary it is standard practice to buy a second set of wheels and tpms sensors to make seasonal tire changeover easier  since installing winter tires on a second set of wheels is a routine practice and not usually considered an aftermarket modification therefore if this car has special tpms requirements they should be indicated in the manual,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,wheels,,,,,2022-02
1798241,11454503,hyundai motor america,hyundai,veracruz,2009-01-01,n,,n,0,0,electrical system,richmond,ca,km8nu73c29u,2022-02-28,2022-02-28,110000.0,,the contact owns a 2009 hyundai veracruz the contact received notification of nhtsa campaign number 20v705000 engine and engine cooling however the part to do the recall repair was unavailable the contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair the manufacturer was made aware of the issue the contact stated that the charging system for the vehicle was not charging correctly the approximate failure mileage was 110000 parts distribution disconnect,evoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-02
1798249,11454510,hyundai motor america,hyundai,santa fe,2010-01-01,n,,n,0,0,engine,oak park,il,5nmsg3ab2ah,2022-02-28,2022-02-28,,,on april 222021 i took my hyundai santa fe to mcgrath hyundai serv ctr for routine oil change i paid for this oil chge and was given a multipoint inspection rpt detailing my car was in good condition needing only routine maintenance updates mileage was documented 46008 mi my car was in excellent condition regularly maintained at hyundai service centers 9 days later my engine failed without any warning i had only driven about 30 mi after servicethis is a safety issue as the failure couldve occurred while i was driving i towed the car back to the serv ctr where i was told i would need a new engine  there was no reason ever given for the sudden failure other than that this was a bad engine i called hyundai corp care to ask for help i was told my 10000010yr warranty had expired 6 mos earlier and there was no recall  i later found this not to be true as nhtsa had done an investigation earlier causing hyundai to recall 1000s of santa fes for the exact reason that my engine failed  my vin is not included in this recall but the problem was exactly the same i read in the nhtsa report this recall applied to engines manufactured before 2011 after many phone callsemails hyundai corp agreed to a good will offer to replace the engine for 80  i was told they would remove the bad engine and drop in a new one however there was faulty communication between hyundai corp and hyundai service center my hands were tied 175 days later i was returned my car with a remanufactured short block approximately 2 mos later my oil light began to flicker  i returned to serv ctr where i was told i  now need to manually check my oil regularly the service engine light no longer works as it should the warning light no longer works for other safety issues also  hyundai was not truthful in owning up to the existence of the engine safety issue they should have owned my problem and repaired as part of the recall i no longer feel safe driving my car   ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798256,11454517,hyundai motor america,hyundai,sonata,2016-01-01,n,,n,0,0,engine,schererville,in,5npe24af8gh,2022-02-28,2022-02-28,,,unknown    vehicle made knocking noises and completely cut off on me  the vehicle had an oil change 1 month ago  ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798279,11454533,hyundai motor america,hyundai,elantra,2014-01-01,n,,n,0,0,engine,trenton,nj,kmhdh4ae6eu,2022-02-28,2022-02-28,128000.0,,the contact owns a 2014 hyundai elantra the contact stated that upon starting the vehicle she heard an abnormal loud slapping and ticking sound coming from the engine there were no warning lights illuminated the contact stated that the failure recurred mostly in the cold weather and increasingly while depressing the accelerator pedal while driving the dealer was notified of the failure and informed the contact that the failure was a known failure the vehicle was not diagnosed nor repaired the manufacturer was not notified of the failure the failure mileage was approximately 128000,evoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798280,11454534,hyundai motor america,hyundai,sonata,2013-01-01,n,,n,0,0,engine,columbus,ga,5npec4ac6dh,2022-02-28,2022-02-28,90000.0,,the contact owns a 2013 hyundai sonata the contact stated while driving at an undisclosed speed the vehicle stalled without a warning light the vehicle was towed to her mothers residence the vehicle was towed to the local dealer to be diagnosed the contact was informed that the engine oil was clumped up in the engine the dealer took the engine apart and however the vehicle was not repaired the contact stated the failure was related to nhtsa campaign number 17v226000 engine and engine cooling the vehicle was towed to the contacts residence the manufacturer was not contacted the approximate failure mileage was 90000 ,evoq,n,,n,n,n,,,,,,0.0,,,,,,,,,v,,n,y,engine,,,,,2022-02
1798281,11454535,hyundai motor america,hyundai,tucson,2014-01-01,n,,n,0,0,engine,danbury,ct,km8jtcafxeu,2022-02-28,2022-02-28,,,engine warning light is on since december  had bad code p1326 knock signal was told by hyundai in danbury i need a new cat i got that done for 2600 by my mechanic engine light is still on return to danbury hyundai they perform bearing performance and said it pass engine light is still on unrealize codes 39250-2e00-sensor assy-knoch this has been going on since december 102021 ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-02
1798389,11454617,hyundai motor america,hyundai,elantra,2017-01-01,n,,n,0,0,engine,van lear,ky,5npd74lf5hh,2022-03-01,2022-03-01,,,while driving on highway the vehicle quit running and would not restart it seemed it lost power prior to completely dying check engine light came on when starting and had some hesitation but started then once on highway stalled out paint is also coming off hood color is pearl white,ivoq,n,,n,n,n,,,,,,25.0,,,,,,,,,v,,n,n,engine,,,,,2022-03
1798401,11454628,hyundai motor america,hyundai,sonata,2013-01-01,n,,n,0,0,engine,jackson,ms,5npec4acxdh,2022-03-01,2022-03-01,101000.0,,the contact owns a 2013 hyundai sonata the contact stated while driving 65 mph the vehicle stalled the contact stated no warning light was illuminated the contact was able to coast the vehicle to the side of the road the vehicle was not drivable the contact towed the vehicle to his residence the contact stated an independent mechanic came to his residence and was informed that the starter needed to be replaced the vehicle was repaired however the vehicle failed to start up the contact called the local dealer and made them aware of the failure the contact was informed by the dealer that his vin was associated with nhtsa campaign number 17v226000 engine and engine cooling the vehicle was not diagnosed or repaired the manufacturer had not been informed of the failure the failure mileage was approximately 101000,evoq,n,,n,n,n,,,,,,65.0,,,,,,,,,v,,n,y,engine,,,,,2022-03
1798408,11454634,hyundai motor america,hyundai,elantra,2019-01-01,n,,n,0,0,engine,phoenix ,il,5npd84lf9kh,2022-03-01,2022-03-01,,,my car has a problem with the pistons and the rod bearings  i literally have 80k miles on the dash it was a recalled called on some 2019-2020 hyundai elantra with 20l motors mines is exactly the model and motor size   nap- hyundai is no help at all my car is literally experiencing engine failure due to piston oil rings and all because it doesnt pop up with my vin there is nothing they can do i really believe my car has a recall ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,y,engine,,,,,2022-03
1798440,11454657,hyundai motor america,hyundai,tucson,2017-01-01,n,,n,0,0,engine,chesapeake,va,km8j33a47hu,2022-03-01,2022-03-01,73000.0,,the contact owns a 2017 hyundai tucson the contact stated that while driving at various speeds she heard an abnormal whining sound coming from the engine the vehicle was taken to the local dealer where it was diagnosed that no issues were found the contact later received a recall notification of nhtsa campaign number 21v727000 engine the vehicle was taken to the dealer who inspected the engine and indicated that the engine passed the inspection test however the engine failed days later the cause of the failure was not yet determined the vehicle was not repaired the manufacturer was not notified of the failure the failure mileage was approximately 73000    ,evoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-03
1798447,11454664,hyundai motor america,hyundai,sonata,2016-01-01,n,,n,0,0,engine,lexington,nc,5npe24af0gh,2022-03-01,2022-03-01,,,engine is consuming a quart of oil every 400 miles ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-03
1798448,11454665,hyundai motor america,hyundai,santa fe,2013-01-01,n,,n,0,0,engine,windom,mn,5xyzu3lb8dg,2022-03-01,2022-03-01,,,very well maintained low miles with a p1326 p0014 c1611 codes which i had cleared and looked at by my shop only to be standard half-mile later on a very busy road had a tow come and get me which was expensive along with the bill i had just paid for i thought it had caught on fire bc the smell was so terrible this seems to be a problem with this type of vehicle this sucks and they probably wont do a xxx thing about it as i live already like im in poverty this isnt enough   information redacted pursuant to the freedom of information act foia 5 usc 552b6,ivoq,n,,n,n,n,4.0,fwd,,gs,,10.0,,,,,,,,,v,,n,n,engine,,,,,2022-03
